loss,mae,val_loss,val_mae
0.04375974088907242,0.12217527627944946,0.1575641632080078,0.1123867928981781
0.02730436623096466,0.09673061966896057,0.1529579609632492,0.1003577783703804
0.02553798258304596,0.09193241596221924,0.15811973810195923,0.09740346670150757
0.024457402527332306,0.08899171650409698,0.16314217448234558,0.09737616032361984
0.02368691749870777,0.08704129606485367,0.16110141575336456,0.096539705991745
0.022823182865977287,0.08520753681659698,0.15863730013370514,0.09486550092697144
0.02217010408639908,0.0834343433380127,0.1492193341255188,0.0935099795460701
0.021441664546728134,0.08187902718782425,0.13777247071266174,0.09077338129281998
0.02093582972884178,0.08101025223731995,0.13334162533283234,0.08991701900959015
0.020623432472348213,0.08031072467565536,0.1303853839635849,0.09011860936880112
0.02033538743853569,0.0797928124666214,0.12764863669872284,0.0906485840678215
0.019857095554471016,0.07875747978687286,0.12376713007688522,0.08973769098520279
0.019569503143429756,0.0781843513250351,0.12178589403629303,0.08898400515317917
0.01934485323727131,0.0776621475815773,0.12661121785640717,0.08948883414268494
0.01908320002257824,0.07720686495304108,0.12493030726909637,0.08998320996761322
0.01887095905840397,0.07685188204050064,0.12260308861732483,0.08872145414352417
0.01871076412498951,0.07641903311014175,0.1234801784157753,0.08872552216053009
0.018552038818597794,0.07614359259605408,0.12664063274860382,0.08802565932273865
0.018320055678486824,0.07571133971214294,0.11873556673526764,0.0876515805721283
0.018188701942563057,0.07550956308841705,0.12396746873855591,0.08852240443229675
0.018008358776569366,0.075184166431427,0.12279635667800903,0.08787192404270172
0.01795775815844536,0.07504484057426453,0.11975595355033875,0.08817880600690842
0.01780187152326107,0.07468437403440475,0.12231788039207458,0.08772483468055725
0.017594434320926666,0.0743037760257721,0.12373170256614685,0.0880168080329895
0.01735074259340763,0.07378122955560684,0.12060675770044327,0.08842373639345169
0.017293795943260193,0.07373646646738052,0.13325932621955872,0.08803046494722366
0.017158618196845055,0.07346582412719727,0.13032588362693787,0.08737873286008835
0.01703658141195774,0.073177769780159,0.13133203983306885,0.08723588287830353
0.016856597736477852,0.07283221185207367,0.12938742339611053,0.08677273243665695
0.01673182286322117,0.07252941280603409,0.12395267933607101,0.08723526448011398
0.01654856838285923,0.07224394381046295,0.12970556318759918,0.08597397804260254
0.016532722860574722,0.07225384563207626,0.12101077288389206,0.08606918156147003
0.016444610431790352,0.07213053852319717,0.12701503932476044,0.08622392266988754
0.016335878521203995,0.0719691589474678,0.11765969544649124,0.08474626392126083
0.01631513237953186,0.07183849811553955,0.12640316784381866,0.08611096441745758
0.01604989729821682,0.07142312079668045,0.11135563254356384,0.08517840504646301
0.016036832705140114,0.07130854576826096,0.10998062044382095,0.08516976237297058
0.015909114852547646,0.07112079113721848,0.11197949945926666,0.08471836149692535
0.01584392599761486,0.07099729031324387,0.10776086151599884,0.08423703163862228
0.015824178233742714,0.07106997817754745,0.12076331675052643,0.0851481631398201
0.015679217875003815,0.07060965895652771,0.11605928838253021,0.08451272547245026
0.015794161707162857,0.07085524499416351,0.10759666562080383,0.08368588238954544
0.015463451854884624,0.07037626951932907,0.11706525832414627,0.0835474506020546
0.015534911304712296,0.07040461897850037,0.12338405102491379,0.084431953728199
0.015336400829255581,0.07003773003816605,0.11983654648065567,0.08330930769443512
0.015413699671626091,0.07022789865732193,0.1310122162103653,0.08494345843791962
0.015312429517507553,0.06999171525239944,0.12094596028327942,0.08411774039268494
0.015191280283033848,0.06991523504257202,0.12943023443222046,0.08367221057415009
0.015238047577440739,0.06988701224327087,0.1303197741508484,0.08492375910282135
0.01505399402230978,0.06946618109941483,0.1245497614145279,0.08430708944797516
0.014982478693127632,0.06938513368368149,0.11680270731449127,0.08481822907924652
0.014974989928305149,0.06935093551874161,0.12719319760799408,0.0849509984254837
0.014854107052087784,0.0692908763885498,0.12833017110824585,0.08459378033876419
0.014845047146081924,0.06925825774669647,0.12834300100803375,0.08539855480194092
0.014747089706361294,0.06907400488853455,0.12523652613162994,0.08367045968770981
0.014676547609269619,0.06892749667167664,0.12927180528640747,0.08600424975156784
0.014578019268810749,0.06870555132627487,0.12188662588596344,0.08577517420053482
0.014619529247283936,0.06883140653371811,0.1259424239397049,0.0861724391579628
0.01455651968717575,0.06854386627674103,0.13056740164756775,0.08524726331233978
0.014601493254303932,0.06870238482952118,0.12432236224412918,0.08461900055408478
0.014312260784208775,0.06808681786060333,0.13033322989940643,0.08640557527542114
0.014477917924523354,0.06843610107898712,0.12373614311218262,0.08556773513555527
0.014187677763402462,0.06791172921657562,0.11765968799591064,0.08575122058391571
0.014255388639867306,0.06801874190568924,0.12169303745031357,0.08604396134614944
0.014044173993170261,0.06763128936290741,0.11608926951885223,0.08573830127716064
0.014101105742156506,0.06781521439552307,0.12021121382713318,0.08572820574045181
0.013955241069197655,0.0675525888800621,0.12197946757078171,0.0833316296339035
0.013997061178088188,0.06763192266225815,0.11751706153154373,0.08353526145219803
0.013987168669700623,0.06765847653150558,0.12586602568626404,0.08452080935239792
0.013876697048544884,0.067446768283844,0.12721045315265656,0.08462213724851608
0.013774441555142403,0.06722980737686157,0.1084064394235611,0.08420920372009277
0.013846318237483501,0.06739247590303421,0.12350638955831528,0.0833825021982193
