accuracy,loss,val_accuracy,val_loss
0.36348092555999756,1.515095829963684,0.46430227160453796,1.2704203128814697
0.4846702218055725,1.2173268795013428,0.5022021532058716,1.1723957061767578
0.5105772614479065,1.1475436687469482,0.5186601877212524,1.1308146715164185
0.5248348116874695,1.1147924661636353,0.5297867655754089,1.110404133796692
0.5340210795402527,1.094406008720398,0.5397542715072632,1.0927757024765015
0.543468177318573,1.0793408155441284,0.5440426468849182,1.0848671197891235
0.5474382638931274,1.0678025484085083,0.5484468936920166,1.0755600929260254
0.5522777438163757,1.0582013130187988,0.5518080592155457,1.0694174766540527
0.5553205013275146,1.049293875694275,0.5543578863143921,1.063450574874878
0.558711051940918,1.041898250579834,0.5576031804084778,1.0584447383880615
0.5629999041557312,1.0348988771438599,0.563282310962677,1.0509538650512695
0.5667091608047485,1.0276390314102173,0.5656003952026367,1.0455724000930786
0.5704474449157715,1.0204253196716309,0.5683820247650146,1.0328190326690674
0.5741856694221497,1.0134114027023315,0.5718590617179871,1.0279991626739502
0.5771125555038452,1.00710129737854,0.574177086353302,1.022983431816101
0.5816622376441956,1.0001609325408936,0.5756838321685791,1.0174251794815063
0.5847919583320618,0.9939391613006592,0.5782336592674255,1.0097026824951172
0.5873131155967712,0.9873541593551636,0.5833333134651184,1.0037044286727905
0.5901529788970947,0.9814472198486328,0.5853036642074585,0.9994326233863831
0.5933116674423218,0.9751760363578796,0.5879694223403931,0.9938113689422607
0.5958618521690369,0.9703584313392639,0.5906351208686829,0.990395188331604
0.5995421409606934,0.9647956490516663,0.5924895405769348,0.986125648021698
0.6004984378814697,0.9606086611747742,0.5929532051086426,0.978489339351654
0.6039469242095947,0.9560384750366211,0.597357451915741,0.9738138914108276
0.6086414456367493,0.9502353668212891,0.5974733233451843,0.9738970994949341
0.6102932691574097,0.9459760785102844,0.6009504199028015,0.9711977243423462
0.6123507618904114,0.942169725894928,0.6006026864051819,0.9719713926315308
0.6125246286392212,0.9383143186569214,0.6039638519287109,0.9669492244720459
0.6151617169380188,0.9357584714889526,0.6060500741004944,0.9654944539070129
0.6167845129966736,0.9311835765838623,0.6085999011993408,0.966545820236206
0.6185811758041382,0.9284222722053528,0.607788622379303,0.9609581232070923
0.6195665001869202,0.9255259037017822,0.6085999011993408,0.9582653045654297
0.619044840335846,0.922143816947937,0.608252227306366,0.9585856199264526
0.6201170682907104,0.9191101789474487,0.6111497282981873,0.9570586681365967
0.6224064230918884,0.9162276983261108,0.6109179258346558,0.9530593752861023
0.6235945224761963,0.9144548177719116,0.6132359504699707,0.9510179162025452
0.6249855160713196,0.9122506976127625,0.6114974617958069,0.9524233937263489
0.6261736154556274,0.9085332155227661,0.6165971159934998,0.9488680958747864
0.6274777054786682,0.9064242243766785,0.6142790913581848,0.951539933681488
0.6279123425483704,0.9049776792526245,0.6170607209205627,0.9472393989562988
0.6295641660690308,0.9019669890403748,0.6167130470275879,0.9457469582557678
0.6290135383605957,0.8994590044021606,0.6141631603240967,0.9473161697387695
0.6296221017837524,0.8969587683677673,0.6133518815040588,0.9490078091621399
0.6308681964874268,0.8944605588912964,0.6130041480064392,0.9510040283203125
0.6313318610191345,0.8932948708534241,0.6152063012123108,0.9504647850990295
0.6330126523971558,0.8901124000549316,0.6153222322463989,0.9516888856887817
0.6347803473472595,0.8880429267883301,0.6160176396369934,0.9535254240036011
0.6366350054740906,0.8852836489677429,0.6141631603240967,0.9517459273338318
0.6366350054740906,0.8840686082839966,0.6149744987487793,0.9517346024513245
0.6381998658180237,0.8825077414512634,0.6148586273193359,0.950883686542511
0.6401124596595764,0.8804049491882324,0.6119610667228699,0.9580146074295044
0.6395618319511414,0.8797093033790588,0.6131200790405273,0.9568537473678589
0.6395907998085022,0.8773630261421204,0.6152063012123108,0.9545804262161255
0.64005446434021,0.8755034804344177,0.6141631603240967,0.9539490938186646
0.6411846280097961,0.8729079365730286,0.6193787455558777,0.9517239928245544
0.6432711482048035,0.8718149662017822,0.6141631603240967,0.9587032198905945
0.6428943872451782,0.8700276017189026,0.6111497282981873,0.9598263502120972
0.6424307227134705,0.8693870306015015,0.6096430420875549,0.9635036587715149
0.6437927484512329,0.8672824501991272,0.6126564741134644,0.9587152004241943
0.6449229121208191,0.8646084666252136,0.6104543209075928,0.9656328558921814
0.6455894112586975,0.8640613555908203,0.6123087406158447,0.9585761427879333
0.6442564129829407,0.8628508448600769,0.6099907159805298,0.9603910446166992
0.6458502411842346,0.8607019186019897,0.6140472888946533,0.9559730887413025
0.64695143699646,0.8592595458030701,0.6102225184440613,0.9611265063285828
0.6480816006660461,0.8578639030456543,0.6103384494781494,0.9593823552131653
0.6493276953697205,0.8551482558250427,0.6150904297828674,0.9560410976409912
0.649559497833252,0.8536518812179565,0.6141631603240967,0.9555929899215698
0.6497623920440674,0.8534494042396545,0.6156699061393738,0.9569392204284668
0.6499072909355164,0.8512803912162781,0.6140472888946533,0.956718385219574
0.650255024433136,0.8501164317131042,0.6075568199157715,0.9651172161102295
0.6510664224624634,0.8495835065841675,0.6128882765769958,0.9597674012184143
0.6531239151954651,0.8469521999359131,0.6114974617958069,0.9629461765289307
0.6525443196296692,0.8481151461601257,0.6106861233711243,0.9620252251625061
0.6539932489395142,0.8445170521736145,0.6097589135169983,0.9640393257141113
0.6553842425346375,0.8422978520393372,0.6060500741004944,0.9724485278129578
0.654717743396759,0.8412376046180725,0.614395022392273,0.9602829217910767
0.656862199306488,0.8399540185928345,0.6110338568687439,0.9648913741111755
0.6562536358833313,0.8392342329025269,0.6136995553970337,0.9616315364837646
0.6570360660552979,0.8369436860084534,0.6119610667228699,0.9658536911010742
0.6574997305870056,0.8356751203536987,0.6114974617958069,0.9676496982574463
0.6588616967201233,0.8346259593963623,0.6120769381523132,0.9664779305458069
0.6592384576797485,0.834309458732605,0.6108020544052124,0.9707403779029846
0.6588327288627625,0.8318383693695068,0.6119610667228699,0.9653648734092712
0.6601077914237976,0.8307466506958008,0.6096430420875549,0.9677605628967285
0.6608612537384033,0.828438937664032,0.6109179258346558,0.9707285761833191
0.6619334816932678,0.8287484645843506,0.6106861233711243,0.9705597162246704
0.6614987850189209,0.8286002278327942,0.6110338568687439,0.9747810959815979
0.6632664799690247,0.8258766531944275,0.6102225184440613,0.9747776985168457
0.6618754863739014,0.8267410397529602,0.6138154864311218,0.9733350276947021
0.6624550819396973,0.8254237174987793,0.608252227306366,0.9735004901885986
0.6637301445007324,0.8241334557533264,0.6132359504699707,0.9715814590454102
0.6643097400665283,0.8231881260871887,0.6140472888946533,0.9799803495407104
0.6632375121116638,0.8223466277122498,0.6199582815170288,0.9674639701843262
0.6645705103874207,0.8216407895088196,0.6124246716499329,0.9797275066375732
0.6658746004104614,0.8196778297424316,0.6112656593322754,0.9782531261444092
0.6663382649421692,0.8185425996780396,0.6153222322463989,0.9739750623703003
0.666222333908081,0.8183695077896118,0.6154381036758423,0.9772428274154663
0.6650921702384949,0.8199557662010193,0.6162494421005249,0.9807912111282349
0.666222333908081,0.8166301846504211,0.6146268248558044,0.9788325428962708
0.6669757962226868,0.8152047395706177,0.6168289184570312,0.970618486404419
