number_of_clusters,inertia
1,431360.0000000005
2,212927.63330198982
3,159138.22814334882
4,136808.07779993542
5,121064.83881642435
6,108020.00578876559
7,99559.8545898424
8,91775.01226590795
9,86911.71909157743
10,82911.66915368798
